p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
SLC2A3	0	0.349437098536511	0.366	0.187	0	2	SLC2A3
PDIA3	0	0.346036194895077	0.349	0.194	0	2	PDIA3
ATP11A	0	0.346024950488324	0.732	0.538	0	2	ATP11A
LCP2	0	0.345587127953615	0.611	0.412	0	2	LCP2
MTHFD2	0	0.344433673936327	0.292	0.149	0	2	MTHFD2
HDAC4	0	0.343401186025442	0.719	0.52	0	2	HDAC4
ALOX5	0	0.341607700540687	0.796	0.609	0	2	ALOX5
B4GALT5	0	0.341293379155146	0.28	0.145	0	2	B4GALT5
ITGAV	0	0.340406666053599	0.548	0.371	0	2	ITGAV
GK	0	0.338023345263937	0.331	0.208	0	2	GK
SND1	0	0.334854418869676	0.741	0.546	0	2	SND1
ZFP36	0	0.332859719210325	0.286	0.162	0	2	ZFP36
SLC7A5	0	0.33031101468341	0.335	0.174	0	2	SLC7A5
MGAT5	0	0.330117910135941	0.825	0.665	0	2	MGAT5
SCIN	0	0.328291771069028	0.647	0.492	0	2	SCIN
PUM3	0	0.32625983304737	0.445	0.271	0	2	PUM3
NLRC5	0	0.325629419635684	0.442	0.263	0	2	NLRC5
C1QC	0	0.324452019861338	0.61	0.413	0	2	C1QC
IKZF1	0	0.322687856864073	0.848	0.691	0	2	IKZF1
ATP2A2	0	0.318674969592764	0.491	0.315	0	2	ATP2A2
GCA	0	0.31840533992467	0.337	0.192	0	2	GCA
DDX10	0	0.318232518493246	0.472	0.291	0	2	DDX10
NFATC2	0	0.317233358504109	0.833	0.651	0	2	NFATC2
FNDC3B	0	0.314566329480827	0.702	0.511	0	2	FNDC3B
E2F3	0	0.314461574288838	0.536	0.36	0	2	E2F3
TMEM131L	0	0.310231313411251	0.495	0.329	0	2	TMEM131L
FLOT2	0	0.30952933409826	0.398	0.236	0	2	FLOT2
EML4	0	0.30843576913772	0.73	0.546	0	2	EML4
RANBP9	0	0.304744891765025	0.604	0.425	0	2	RANBP9
IKBKE	0	0.30415819969663	0.269	0.146	0	2	IKBKE
DTNB	0	0.303057407215394	0.738	0.567	0	2	DTNB
PDIA6	0	0.30249217084183	0.267	0.14	0	2	PDIA6
FCGR2A	0	0.301290243165325	0.556	0.372	0	2	FCGR2A
STAT3	0	0.299907551385225	0.702	0.509	0	2	STAT3
FCGR1B	0	0.29972935822033	0.304	0.158	0	2	FCGR1B
CTSC	0	0.294754125042517	0.56	0.385	0	2	CTSC
HSPA1A	0	0.294250507685955	0.584	0.424	0	2	HSPA1A
RASSF4	0	0.292880031544227	0.623	0.45	0	2	RASSF4
TMED8	0	0.292044225086084	0.338	0.197	0	2	TMED8
TMEM176B	0	0.289879264574544	0.33	0.19	0	2	TMEM176B
PFKFB3	0	0.289681058907185	0.661	0.485	0	2	PFKFB3
C1QB	0	0.28906826272929	0.716	0.509	0	2	C1QB
LY96	0	0.286371300978096	0.368	0.233	0	2	LY96
SP100	0	0.286041680016366	0.868	0.697	0	2	SP100
EIF4G3	0	0.285113890697021	0.927	0.793	0	2	EIF4G3
DTNBP1	0	0.284072151327867	0.503	0.344	0	2	DTNBP1
GOLPH3	0	0.283268737569235	0.473	0.306	0	2	GOLPH3
CMSS1	0	0.282286408023803	0.487	0.334	0	2	CMSS1
PHYKPL	0	0.281711987780719	0.607	0.425	0	2	PHYKPL
RB1	0	0.280107267383779	0.839	0.672	0	2	RB1
C31	0	0.280059800983033	0.875	0.733	0	2	C3
HSPA1B	0	0.27966813097435	0.397	0.255	0	2	HSPA1B
XRN2	0	0.273440356124208	0.51	0.337	0	2	XRN2
FBXL5	0	0.272524516506797	0.414	0.26	0	2	FBXL5
PMM2	0	0.272490165659028	0.318	0.182	0	2	PMM2
MGAT4A	0	0.27171166670459	0.92	0.791	0	2	MGAT4A
JAZF1	0	0.26675146016442	0.925	0.806	0	2	JAZF1
WDR43	0	0.265274679007418	0.318	0.187	0	2	WDR43
ACSL1	0	0.264687928516566	0.725	0.503	0	2	ACSL1
MKNK1	0	0.263972627417021	0.784	0.603	0	2	MKNK1
MS4A6A	0	0.26305128850137	0.716	0.528	0	2	MS4A6A
SLC12A9	0	0.262977714189674	0.314	0.173	0	2	SLC12A9
PACSIN2	0	0.261961418352504	0.708	0.527	0	2	PACSIN2
PARP9	0	0.261913076260472	0.472	0.298	0	2	PARP9
SPTLC2	0	0.261773120540144	0.823	0.652	0	2	SPTLC2
OLA1	0	0.261299103907839	0.452	0.296	0	2	OLA1
CYTH4	0	0.260980028440915	0.537	0.365	0	2	CYTH4
MFF	0	0.259783592809121	0.357	0.224	0	2	MFF
DOK3	0	0.259559234894399	0.269	0.146	0	2	DOK3
ALPK1	0	0.252172493771019	0.71	0.534	0	2	ALPK1
RUBCNL	0	0.250829283446929	0.644	0.472	0	2	RUBCNL
ELOVL5	0	0.250329713003379	0.367	0.226	0	2	ELOVL5
TBC1D2B	8.58650292193655e-304	0.264701820237168	0.625	0.463	1.39341769417186e-299	2	TBC1D2B
ATP2B4	1.97827230065492e-302	0.272316044359715	0.35	0.223	3.2103402895028e-298	2	ATP2B4
ZFP36L1	4.01678409369129e-299	0.294652295262128	0.832	0.689	6.51843722724222e-295	2	ZFP36L1
RNF217	2.24168238739101e-292	0.256751352904426	0.377	0.248	3.63780217825813e-288	2	RNF217
ARHGAP20	1.37761095033862e-273	0.298611246832834	0.274	0.169	2.23558705020952e-269	2	ARHGAP20
PAG1	4.74081100259656e-272	0.265074007255377	0.846	0.708	7.69338809501369e-268	2	PAG1
SPRED1	4.63335971277381e-255	0.253203934449375	0.794	0.637	7.51901614188933e-251	2	SPRED1
IRF8	1.44167896078262e-237	0.262741814476042	0.47	0.337	2.33955661755804e-233	2	IRF8
DPYD	3.03957051862703e-231	0.281543116794269	0.685	0.561	4.93261503762794e-227	2	DPYD
LARGE1	1.09263641344764e-223	0.345102127915476	0.417	0.3	1.77313037174284e-219	2	LARGE1
SRGAP1	1.17246543827277e-210	0.259499975776993	0.853	0.739	1.90267691322905e-206	2	SRGAP1
FTL	0	2.3244813094089	0.944	0.6	0	3	FTL
FTH1	0	2.13679897112179	0.818	0.431	0	3	FTH1
RPL19	0	1.9877667590836	0.616	0.143	0	3	RPL19
TPT1	0	1.81731408575625	0.684	0.292	0	3	TPT1
TMSB10	0	1.79521016922161	0.664	0.241	0	3	TMSB10
RPS6	0	1.79434613914263	0.592	0.157	0	3	RPS6
RPL32	0	1.78853758136928	0.537	0.115	0	3	RPL32
PLEKHA7	0	1.73656674675273	0.512	0.102	0	3	PLEKHA7
RPS11	0	1.72055874343042	0.556	0.142	0	3	RPS11
RPS15	0	1.71321303037353	0.614	0.188	0	3	RPS15
RPL11	0	1.70542732136177	0.61	0.191	0	3	RPL11
RPS24	0	1.68406400674931	0.611	0.209	0	3	RPS24
TMSB4X	0	1.67342712403913	0.903	0.585	0	3	TMSB4X
RPS27A	0	1.64253747062334	0.583	0.179	0	3	RPS27A
RPLP1	0	1.60300926794425	0.615	0.214	0	3	RPLP1
RPL23A	0	1.59869573906004	0.47	0.1	0	3	RPL23A
RPS4X	0	1.59759629389221	0.476	0.099	0	3	RPS4X
RPS23	0	1.57795828579313	0.521	0.131	0	3	RPS23
RPS25	0	1.48217607837342	0.465	0.111	0	3	RPS25
RPS20	0	1.456899892094	0.466	0.112	0	3	RPS20
EEF1A1	0	1.45082614930339	0.612	0.254	0	3	EEF1A1
RPS8	0	1.4461729582274	0.534	0.188	0	3	RPS8
RPL28	0	1.43699380550084	0.588	0.244	0	3	RPL28
RPL13	0	1.37072267484345	0.726	0.4	0	3	RPL13
AIF1	0	1.31862789930744	0.414	0.113	0	3	AIF1
RPL13A	0	1.31669531200605	0.55	0.231	0	3	RPL13A
RPL8	0	1.31566148695263	0.471	0.151	0	3	RPL8
RPL14	0	1.30125258351219	0.467	0.155	0	3	RPL14
RPLP2	0	1.26619280092779	0.444	0.143	0	3	RPLP2
RPL37A	0	1.26203517640298	0.485	0.187	0	3	RPL37A
ATP5F1E	0	1.25360083077347	0.383	0.093	0	3	ATP5F1E
RPS3	0	1.24182985861797	0.543	0.233	0	3	RPS3
RPL41	0	1.22552512445218	0.47	0.183	0	3	RPL41
RPL27A	0	1.18950888000449	0.394	0.114	0	3	RPL27A
RPL29	0	1.15747895363927	0.418	0.142	0	3	RPL29
UBA52	0	1.15573916221072	0.37	0.095	0	3	UBA52
RPL3	0	1.13635538528692	0.428	0.16	0	3	RPL3
RPL10	0	1.1271027275254	0.523	0.255	0	3	RPL10
RPL35	0	1.10833751426596	0.393	0.137	0	3	RPL35
RPS27	0	1.09102255131344	0.314	0.068	0	3	RPS27
RPS2	0	1.08715476612051	0.497	0.24	0	3	RPS2
OOEP	0	1.07566309110982	0.288	0.05	0	3	OOEP
RPS18	0	1.07195329516619	0.357	0.106	0	3	RPS18
YBX1	0	1.06613902483529	0.395	0.14	0	3	YBX1
RPL23	0	1.05683851589588	0.345	0.098	0	3	RPL23
FAU	0	1.04990837076793	0.368	0.12	0	3	FAU
RPS19	0	1.04540675038002	0.68	0.432	0	3	RPS19
NACA	0	1.03726507259817	0.44	0.189	0	3	NACA
APOO	0	1.03294955719773	0.449	0.189	0	3	APOO
RPL6	0	1.00930630387711	0.43	0.182	0	3	RPL6
TXNRD1	0	1.00255687046282	0.514	0.27	0	3	TXNRD1
RPS14	0	0.989736953299368	0.393	0.152	0	3	RPS14
GAPDH	0	0.98540560752321	0.499	0.251	0	3	GAPDH
RPL30	0	0.968006554767509	0.34	0.124	0	3	RPL30
RPL4	0	0.966369367736593	0.35	0.121	0	3	RPL4
UQCRB	0	0.959267061044165	0.286	0.066	0	3	UQCRB
EIF1	0	0.942979700524397	0.462	0.227	0	3	EIF1
RPS9	0	0.932756123834607	0.494	0.261	0	3	RPS9
RPL15	0	0.915625185731915	0.428	0.197	0	3	RPL15
BAIAP2L1	0	0.9062737858729	0.292	0.085	0	3	BAIAP2L1
RPL7	0	0.896699968845846	0.3	0.088	0	3	RPL7
C1QB1	0	0.893201661907391	0.7	0.518	0	3	C1QB
C1QC1	0	0.890471623977353	0.607	0.42	0	3	C1QC
RPL27	0	0.885265166720985	0.295	0.089	0	3	RPL27
C1QA	0	0.860620604747319	0.554	0.367	0	3	C1QA
RPL38	0	0.857079523462976	0.259	0.07	0	3	RPL38
RPS16	0	0.842277745849321	0.345	0.141	0	3	RPS16
HLA-DRA	0	0.841788305675987	0.573	0.382	0	3	HLA-DRA
RPL36	0	0.839437015911941	0.301	0.107	0	3	RPL36
